,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
43,IST300,M001,42515,3.0,Enterprise Data Analysis,Michael A Leonardo,5:15pm - 8:05pm,M,Hinds Hall 010
44,IST322,M001,41445,3.0,Dig Strat & Analytics for Web,Michael Clarke,3:30pm - 4:50pm,TuTh,Hinds Hall 011
45,IST323,M001,37419,3.0,Intro to Information Security,Christopher Croad,2:15pm - 5:05pm,W,Hinds Hall 027  Hinds Hall 117
46,IST335,M002,37393,3.0,Intro/Info Based Organizations,Blythe Scherrer,8:00am - 9:20am,MW,Hinds Hall 117
47,IST335,M001,37398,3.0,Intro/Info Based Organizations,Jeffrey Fouts,2:00pm - 3:20pm,TuTh,Hinds Hall 011
48,IST335,M003,37416,3.0,Intro/Info Based Organizations,Alexander Corsello,3:45pm - 5:05pm,MW,Hinds Hall 111
49,IST335,M005,37469,3.0,Intro/Info Based Organizations,Alexander Corsello,2:15pm - 3:35pm,MW,Hinds Hall 111
50,IST336,M001,41506,3.0,Leading Issues in Info Securit,Joon S. Park,3:45pm - 5:05pm,MW,Hinds Hall 117
51,IST337,M001,41702,1.0,IM&T Support Practicum,Jeffrey Fouts,2:15pm - 5:00pm,F,Hinds Hall 117
52,IST343,M001,41478,3.0,Data in Society,Jennifer Stromer-Galley,12:45pm - 2:05pm,MW,Hinds Hall 018
53,IST343,M002,42773,3.0,Data in Society,Jennifer Stromer-Galley,9:30am - 10:50am,MW,Hinds Hall 018
54,IST344,M002,37390,3.0,Info Reporting & Presentation,Peggy M Takach,12:45pm - 2:05pm,MW,Hinds Hall 111
55,IST344,M004,37403,3.0,Info Reporting & Presentation,Bruce Kingma,9:30am - 10:50am,TuTh,Hinds Hall 018
56,IST344,M005,37407,3.0,Info Reporting & Presentation,Christopher Perrello,12:30pm - 1:50pm,TuTh,Hinds Hall 011
57,IST344,M006,37410,3.0,Info Reporting & Presentation,A Randall Wenner,5:15pm - 8:05pm,M,Newhouse 3 250
58,IST344,M009,37456,3.0,Info Reporting & Presentation,Eric William Young,3:30pm - 4:50pm,TuTh,Hall of Languages 111
59,IST344,M010,37473,3.0,Info Reporting & Presentation,Bruce Kingma,11:00am - 12:20pm,TuTh,Hinds Hall 018
60,IST345,M001,37404,3.0,Managing Info Systems Projects,Robert E Campagna,5:15pm - 8:00pm,W,Hinds Hall 021
61,IST345,M002,37405,3.0,Managing Info Systems Projects,Daniel Cohen,9:30am - 10:50am,TuTh,Hinds Hall 111
62,IST345,M003,37434,3.0,Managing Info Systems Projects,Mark Andrew Borte,5:15pm - 8:05pm,Tu,Hinds Hall 111
63,IST346,M001,37385,3.0,Info Tech Mgmt&Administration,Ryan Elstad,12:30pm - 1:50pm,TuTh,Hinds Hall 010
64,IST346,M002,37401,3.0,Info Tech Mgmt&Administration,Timothy A Jorgensen,12:30pm - 1:50pm,TuTh,Hinds Hall 013
65,IST346,M003,37661,3.0,Info Tech Mgmt&Administration,Lauren J Hardee-Chase,3:45pm - 5:05pm,MW,Hinds Hall 013
66,IST346,M004,42874,3.0,Info Tech Mgmt&Administration,Lauren J Hardee-Chase,12:45pm - 2:05pm,MW,Hinds Hall 027
67,IST352,M001,37388,3.0,Info Analysis of Org. Systems,Alexander Corsello,11:00am - 12:20pm,TuTh,Hinds Hall 021
68,IST352,M003,37424,3.0,Info Analysis of Org. Systems,P Douglas Taber,5:15pm - 6:30pm,MW,Hinds Hall 111
69,IST352,M004,37453,3.0,Info Analysis of Org. Systems,P Douglas Taber,12:45pm - 2:05pm,MW,Newhouse 2 345
70,IST352,M005,37475,3.0,Info Analysis of Org. Systems,P Douglas Taber,8:00am - 9:20am,MW,Hinds Hall 111
71,IST352,M006,37476,3.0,Info Analysis of Org. Systems,Alexander Corsello,8:00am - 9:20am,TuTh,Hinds Hall 117
72,IST359,M001,37417,3.0,Intro to Data Base Mgmt Systs,Laurie A Ferger,2:15pm - 3:35pm,MW,Hinds Hall 010
73,IST359,M003,37421,3.0,Intro to Data Base Mgmt Systs,Blythe Scherrer,8:00am - 9:20am,TuTh,Hinds Hall 010
74,IST359,M004,37454,3.0,Intro to Data Base Mgmt Systs,Chad Aaron Harper,2:00pm - 3:20pm,TuTh,Hinds Hall 027  Hinds Hall 111
